,Age,Female,Male,County
3,30 - 40,100927,103011,Meru
4,40 - 50,63405,62681,Meru
5,50 - 60,42198,42393,Meru
6,60 - 70,26193,24923,Meru
7,70 - 80,16176,14396,Meru
8,80+,13383,9138,Meru
0,0 - 10,163161,163058,Migori
1,10 - 20,115487,117375,Migori
2,20 - 30,82674,69417,Migori
3,30 - 40,44943,40368,Migori
4,40 - 50,27661,22719,Migori
5,50 - 60,18006,14964,Migori
6,60 - 70,10508,8632,Migori
7,70 - 80,6492,4940,Migori
8,80+,3636,2624,Migori
0,0 - 10,113083,114153,Mombasa
1,10 - 20,88861,80755,Mombasa
2,20 - 30,130033,120694,Mombasa
3,30 - 40,66020,92146,Mombasa
4,40 - 50,28289,45107,Mombasa
5,50 - 60,13689,20868,Mombasa
6,60 - 70,6685,7903,Mombasa
7,70 - 80,3289,3319,Mombasa
8,80+,2160,1446,Mombasa
0,0 - 10,108248,111221,Muranga
1,10 - 20,97920,103829,Muranga
2,20 - 30,70443,64084,Muranga
3,30 - 40,58149,51372,Muranga
4,40 - 50,44900,37685,Muranga
5,50 - 60,30782,26114,Muranga
6,60 - 70,23395,20693,Muranga
7,70 - 80,14122,10895,Muranga
8,80+,11249,6535,Muranga
0,0 - 10,352757,351281,Nairobi
1,10 - 20,281306,235723,Nairobi
2,20 - 30,494464,445685,Nairobi
3,30 - 40,236679,317082,Nairobi
4,40 - 50,98594,155010,Nairobi
5,50 - 60,39875,65986,Nairobi
6,60 - 70,15769,22419,Nairobi
7,70 - 80,6759,6886,Nairobi
8,80+,5175,3348,Nairobi
0,0 - 10,232015,239240,Nakuru
1,10 - 20,177969,182419,Nakuru
2,20 - 30,165240,151640,Nakuru
3,30 - 40,99803,105517,Nakuru
4,40 - 50,56597,60191,Nakuru
5,50 - 60,30558,32235,Nakuru
6,60 - 70,18870,18073,Nakuru
7,70 - 80,9702,9061,Nakuru
8,80+,7699,5807,Nakuru
0,0 - 10,118123,120919,Nandi
1,10 - 20,90231,90922,Nandi
2,20 - 30,67595,62935,Nandi
3,30 - 40,40971,42747,Nandi
4,40 - 50,25049,25136,Nandi
5,50 - 60,15036,15823,Nandi
6,60 - 70,8967,8801,Nandi
7,70 - 80,5243,5125,Nandi
8,80+,5121,3921,Nandi
0,0 - 10,153446,159159,Narok
1,10 - 20,98995,103618,Narok
2,20 - 30,74985,68382,Narok
3,30 - 40,42355,43962,Narok
4,40 - 50,24346,25068,Narok
5,50 - 60,12145,13649,Narok
6,60 - 70,7455,7769,Narok
7,70 - 80,4149,4088,Narok
8,80+,3778,2943,Narok
0,0 - 10,74617,75371,Nyamira
1,10 - 20,60085,59924,Nyamira
2,20 - 30,47721,34649,Nyamira
3,30 - 40,28218,24285,Nyamira
4,40 - 50,17927,17268,Nyamira
5,50 - 60,11007,11446,Nyamira
6,60 - 70,6224,6219,Nyamira
7,70 - 80,3851,3485,Nyamira
8,80+,2690,1842,Nyamira
0,0 - 10,85033,88261,Nyandarua
1,10 - 20,70288,74948,Nyandarua
2,20 - 30,48175,42276,Nyandarua
3,30 - 40,39174,33640,Nyandarua
4,40 - 50,26933,23669,Nyandarua
5,50 - 60,13939,12709,Nyandarua
6,60 - 70,10945,8521,Nyandarua
7,70 - 80,5551,5067,Nyandarua
8,80+,3983,2941,Nyandarua
0,0 - 10,76072,78981,Nyeri
1,10 - 20,71707,74396,Nyeri
2,20 - 30,61045,57643,Nyeri
3,30 - 40,49748,46936,Nyeri
4,40 - 50,37377,34177,Nyeri
5,50 - 60,22123,19372,Nyeri
6,60 - 70,17343,15041,Nyeri
7,70 - 80,10120,8009,Nyeri
8,80+,8200,5064,Nyeri
0,0 - 10,39881,40577,Samburu
1,10 - 20,27330,30522,Samburu
2,20 - 30,18431,16597,Samburu
3,30 - 40,11035,10113,Samburu
4,40 - 50,6220,5832,Samburu
5,50 - 60,3850,3565,Samburu
6,60 - 70,2678,2492,Samburu
7,70 - 80,1478,1433,Samburu
8,80+,1017,846,Samburu
0,0 - 10,131471,132328,Siaya
1,10 - 20,104073,107516,Siaya
2,20 - 30,71578,58686,Siaya
3,30 - 40,40260,35152,Siaya
4,40 - 50,31568,21508,Siaya
5,50 - 60,26806,17493,Siaya
6,60 - 70,18813,12819,Siaya
7,70 - 80,12637,8724,Siaya
8,80+,6155,4159,Siaya
0,0 - 10,36367,37180,TaitaTaveta
1,10 - 20,31097,32385,TaitaTaveta
2,20 - 30,23405,24990,TaitaTaveta
3,30 - 40,17028,19774,TaitaTaveta
4,40 - 50,11870,12850,TaitaTaveta
5,50 - 60,8373,8535,TaitaTaveta
6,60 - 70,5648,5175,TaitaTaveta
7,70 - 80,3349,2847,TaitaTaveta
8,80+,2129,1514,TaitaTaveta
0,0 - 10,19825,20195,TharakaNithi
1,10 - 20,15468,15471,TharakaNithi
2,20 - 30,11778,9531,TharakaNithi
3,30 - 40,8008,7041,TharakaNithi
4,40 - 50,4601,4156,TharakaNithi
5,50 - 60,2966,2792,TharakaNithi
6,60 - 70,2215,1875,TharakaNithi
7,70 - 80,1252,1039,TharakaNithi
8,80+,1072,750,TharakaNithi
0,0 - 10,135442,137718,TransNzoia
1,10 - 20,100906,102567,TransNzoia
2,20 - 30,72111,65377,TransNzoia
3,30 - 40,43133,43537,TransNzoia
4,40 - 50,26985,25661,TransNzoia
5,50 - 60,16124,16220,TransNzoia
6,60 - 70,8700,8692,TransNzoia
7,70 - 80,4884,4654,TransNzoia
8,80+,3201,2627,TransNzoia
0,0 - 10,120224,129428,Turkana
1,10 - 20,118712,144037,Turkana
2,20 - 30,67999,73813,Turkana
3,30 - 40,45657,39215,Turkana
4,40 - 50,26774,25824,Turkana
5,50 - 60,15960,16103,Turkana
6,60 - 70,8565,9429,Turkana
7,70 - 80,3739,4241,Turkana
8,80+,2530,2741,Turkana
0,0 - 10,129614,131874,UasinGishu
1,10 - 20,103059,101241,UasinGishu
2,20 - 30,97189,91986,UasinGishu
3,30 - 40,53166,57642,UasinGishu
